published_date,count
2025-06-23,6
2025-06-24,6
2025-06-25,7
2025-06-26,5
2025-06-27,5
2025-06-28,1
2025-06-29,0
2025-06-30,9
2025-07-01,12
2025-07-02,8
2025-07-03,4
2025-07-04,1
2025-07-05,1
2025-07-06,0
2025-07-07,6
2025-07-08,9
2025-07-09,5
2025-07-10,9
2025-07-11,4
2025-07-12,1
2025-07-13,0
2025-07-14,7
2025-07-15,12
2025-07-16,10
2025-07-17,8
2025-07-18,2
2025-07-19,1
2025-07-20,0
2025-07-25,5
2025-07-26,6
2025-07-27,1
2025-07-28,8
2025-07-29,8
2025-07-30,4
2025-07-31,11
2025-08-01,7
2025-08-02,1
2025-08-03,1
2025-08-04,11
2025-08-05,9
2025-08-06,11
2025-08-07,9
2025-08-08,4
2025-08-09,3
2025-08-10,1
2025-08-11,10
2025-08-12,8
2025-08-13,8
2025-08-14,13
2025-08-15,6
2025-08-16,1
2025-08-17,0
2025-08-18,6
2025-08-19,15
2025-08-20,8
2025-08-21,11
2025-08-22,4
2025-08-23,2
2025-08-24,1
2025-08-25,4
2025-08-26,12
2025-08-27,10
2025-08-28,12
2025-08-29,7
2025-08-30,2
2025-08-31,0
2025-09-01,4
2025-09-02,12
2025-09-03,6
2025-09-04,6
2025-09-05,5
2025-09-06,1
2025-09-07,0
2025-09-08,5
2025-09-09,7
2025-09-10,7
2025-09-11,7
2025-09-12,9
2025-09-13,2
2025-09-14,0
2025-09-15,11
2025-09-16,6
2025-09-17,9
2025-09-18,11
2025-09-19,8
2025-09-20,1
2025-09-21,1
2025-09-22,7
2025-09-23,7
2025-09-24,14
2025-09-25,16
2025-09-26,16
2025-09-27,1
2025-09-28,1
2025-09-29,13
2025-09-30,15
2025-10-01,9
2025-10-02,8
2025-10-03,3
2025-10-04,1
2025-10-05,0
2025-10-06,17
2025-10-07,10
2025-10-08,10
2025-10-09,9
2025-10-10,4
2025-10-11,1
2025-10-12,0
2025-10-13,3
2025-10-14,16
2025-10-15,10
2025-10-16,12
2025-10-17,9
2025-10-18,1
2025-10-19,0
2025-10-20,9
2025-10-21,9
2025-10-22,9
2025-10-23,9
2025-10-24,9
2025-10-25,3
2025-10-26,0
2025-10-27,11
2025-10-28,16
2025-10-29,13
2025-10-30,11
2025-10-31,10
2025-11-01,1
2025-11-02,0
2025-11-03,8
2025-11-04,9
2025-11-05,10
2025-11-06,8
2025-11-07,6
2025-11-08,1
2025-11-09,0
2025-11-10,11
2025-11-11,8
2025-11-12,10
2025-11-13,13
2025-11-14,13
2025-11-15,1
2025-11-16,0
2025-11-17,8
2025-11-18,18
2025-11-19,20
2025-11-20,11
2025-11-21,12
2025-11-22,2
2025-11-23,0
2025-11-24,6
2025-11-25,9
2025-11-26,4
2025-11-27,1
2025-11-28,3
2025-11-29,1
2025-11-30,1
2025-12-01,7
2025-12-02,29
2025-12-03,17
2025-12-04,6
2025-12-05,12
2025-12-06,2
2025-12-07,1
